Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
MAGENTIQ EYE,Not Acquired,$100K Seed,JUN '16,Neuron.VC,David E. Weekly,N/A,$500K Seed,JUN '18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PERCH,Not Acquired,$1.5M Seed,MAY '15,Grace Beauty Capital,Corigin Ventures,N/A,$2M Seed,MAY '18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SURKUS,Not Acquired,$3.5M Seed,JAN '16,N/A,N/A,N/A,$5.5M Series A,MAR '17,N/A,N/A,N/A,$10M Series B,MAY '18,N/A,N/A,N/A
GOOD EGGS,Not Acquired,$15M Series B,JUL '16,Index Ventures,Collaborative Fund,N/A,$50M Series C,MAY '18,Benchmark Capital,Index Ventures,N/A,N/A,N/A,N/A,N/A,N/A
FIELDBOOK,MAY '18,$2.2M Seed,APR '16,Accomplice,Pejman Mar Ventures,N/A,READ PRESS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STRATIFI,Not Acquired,$7M Series A,MAY '18,Anthemis Group,HOF Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOOM.AI,Not Acquired,$1.4M Seed,JUN '16,DHVC (Danhua Capital),Presence Capital: AR & VR venture fund,N/A,$4.5M Seed,MAY '18,DHVC (Danhua Capital),Samsung Ventures,N/A,N/A,N/A,N/A,N/A,N/A
ZESTY,APR '18,$3.7M Seed,JUL '14,Y Combinator,SV Angel,N/A,$17M Series A,JUL '15,Founders Fund,Index Ventures,N/A,READ PRESS,N/A,N/A,N/A,N/A
DIRECTLY,Not Acquired,$1.8M Seed,AUG '13,CrunchFund,True Ventures,N/A,$10M Series A,MAY '15,True Ventures,Costanoa Ventures,N/A,$20M Series B,APR '18,True Ventures,Northgate Capital,N/A
MINDMATE (TECHSTARS'16),Not Acquired,$200K Round,APR '16,Potential Female Founders,Doug Scott,N/A,$550K Round,DEC '16,Techstars,MuckerLab,N/A,$2M Seed,MAR '18,LaunchCapital,Telegraph Hill Capital,N/A
SHIFT,Not Acquired,$4M Seed,MAR '18,Andreessen Horowitz,Expa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REMESH,Not Acquired,$10M Series A,MAR '18,General Catalyst,Techstars Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BURROW,Not Acquired,$92K Seed,AUG '16,N/A,N/A,N/A,$4.3M Seed,DEC '17,Interplay Ventures,Justin Kan,N/A,$14M Series A,MAR '18,Y Combinator,New Enterprise Associates,N/A
LIGHTNING LABS,Not Acquired,$2.5M Seed,MAR '18,Digital Currency Group,the HiVE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FISHBRAIN,Not Acquired,$8M Round,JUL '15,Seedcamp,Northzone,N/A,$13.5M Series B,MAR '18,Northzone,SoftBank Ventures Korea,N/A,N/A,N/A,N/A,N/A,N/A
STARCITY,Not Acquired,$3.8M Seed,JAN '17,Y Combinator,New Enterprise Associates,N/A,$16.5M Series A,MAR '18,Y Combinator,Bullpen Capital,N/A,N/A,N/A,N/A,N/A,N/A
MINJAR,MAR '18,$750K Seed,MAR '16,Angels,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RECARGAPAY,Not Acquired,$22M Series B,FEB '18,Ventech,International Finance Corporation (IFC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TEAMPAY,Not Acquired,$4M Seed,FEB '18,Crosscut Ventures,KEC Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DYNAMIC SIGNAL,Not Acquired,$36.5M Series E,FEB '18,Venrock,Trinity Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SKYDIO,Not Acquired,$42M Series B,FEB '18,Andreessen Horowitz,Accel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RENOVISO,Not Acquired,$1.4M Seed,SEP '15,NextView Ventures,RRE Ventures,N/A,$3.5M Series A,SEP '16,Bessemer Venture Partners,RRE Ventures,N/A,$7M Series A,FEB '18,N/A,N/A,N/A
MIXMAX,Not Acquired,$1.5M Seed,APR '15,Floodgate,Harrison Metal,N/A,$10.4M Series A,FEB '18,Floodgate,Creandum,N/A,N/A,N/A,N/A,N/A,N/A
FURNISHARE,Not Acquired,$2M Seed,FEB '18,Lerer Hippeau Ventures,Correlation Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PARKIFI,Not Acquired,$2M Seed,MAY '15,Galvanize Ventures,FG Angels,N/A,$7.5M Series A,FEB '16,Crosslink Capital,Grotech Ventures,N/A,READ PRESS,FEB '18,N/A,N/A,N/A
STRATIM,FEB '18,$30M Series B,APR '15,Bessemer Venture Partners,Norwest Venture Partners,N/A,Round,SEP '15,BMW i Ventures,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A
LAMBDA SCHOOL,Not Acquired,$4M Seed,JAN '18,S2 Capital,Soma Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WAG,Not Acquired,$2.5M Seed,MAY '15,Greylock Partners,Freestyle Capital,N/A,$4M Series A,SEP '16,General Catalyst,N/A,N/A,$15M Series B,MAR '17,Sherpa Capital,N/A,N/A
AKASH SYSTEMS,Not Acquired,$3.1M Seed,JAN '18,Khosla Ventures,Social Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAVENLY,Not Acquired,$7.5M Series A,NOV '15,Foundry Group,FG Angels,N/A,$5.8M Series A,MAR '16,Foundry Group,Chicago Ventures,N/A,$12.5M Series B,JAN '18,Foundry Group,Chicago Ventures,N/A
AND CO FROM FIVERR,JAN '18,$2M Seed,MAR '16,Thrive Capital,BoxGroup,N/A,$2.3M Round,JAN '17,N/A,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A
CABIFY,Not Acquired,$8M Series A,APR '14,Winklevoss Capital,Seaya Ventures,N/A,$12M Series B,OCT '15,Seaya Ventures,Rakuten Ventures,N/A,$120M Series C,APR '16,Rakuten,N/A,N/A
THE PICKS & SHOVELS CO.,Not Acquired,$1M Seed,JAN '18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEDGER,Not Acquired,$7M Series A,MAR '17,Digital Currency Group,Kima Ventures,N/A,$75M Series B,JAN '18,Draper Associates,Draper Esprit,N/A,N/A,N/A,N/A,N/A,N/A
GROVE COLLABORATIVE,Not Acquired,$3.3M Seed,FEB '15,NextView Ventures,MHS Capital,N/A,$5M Series A,JUL '16,N/A,N/A,N/A,$35M Series C,JAN '18,Norwest Venture Partners,N/A,N/A
PAINTZEN,JAN '18,$1.8M Seed,OCT '14,Lerer Hippeau,NextView Ventures,N/A,$7.2M Series A,SEP '15,Bullpen Capital,NextView Ventures,N/A,N/A,N/A,N/A,N/A,N/A
TAPSLASH (SLASH KEYBOARD),JAN '18,$1.3M Seed,DEC '15,Betaworks,Social Starts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAY MOBILITY,Not Acquired,$3.5M Seed,AUG '17,Maven Ventures,Tandem Capital,N/A,$11.6M Series A,JAN '18,Maven Ventures,Tandem Capital,N/A,N/A,N/A,N/A,N/A,N/A
SOURCERESS,Not Acquired,$3.5M Seed,DEC '17,Y Combinator,Lightspeed Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RIPCORD,Not Acquired,$9.5M Series A,MAR '17,Kleiner Perkins,N/A,N/A,$40M Series B,AUG '17,Icon Ventures,N/A,N/A,$25M Series B,DEC '17,GV,Kleiner Perkins,N/A
NODESOURCE,Not Acquired,$3M Seed,FEB '15,Resolute Ventures,Crosslink Capital,N/A,$10M Series A,APR '16,Crosslink Capital,Resolute Ventures,N/A,$17.5M Series B,DEC '17,RRE Ventures,Crosslink Capital,N/A
WEDPICS - ACQUIRED BY MIXBOOK,DEC '17,$7.3M Series B,FEB '15,Bullpen Capital,OCA Ventures,N/A,READ PRESS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELEMENO HEALTH,Not Acquired,$1.3M Seed,DEC '17,Y Combinator,Launchpad Digital Health,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLORA,Not Acquired,$3.3M Seed,DEC '17,Spark Capital,Social Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATTERMARK,DEC '17,$2M Seed,JUN '14,Andreessen Horowitz,Sherpa Capital,N/A,$6.5M Series A,DEC '14,Foundry Group,Sherpa Capital,N/A,$7.3M Series B,MAR '16,Foundry Group,Jon Hallett,N/A
PHONEWAGON,Not Acquired,$1.2M Seed,DEC '17,Sean Ammirati,Pat Matthews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MYVR,Not Acquired,$1.4M Seed,SEP '12,Y Combinator,SV Angel,N/A,$6.1M Series A,DEC '17,True Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLOCKSTACK,Not Acquired,$1.5M Seed,NOV '14,Union Square Ventures,SV Angel,N/A,$4M Series A,JAN '17,Union Square Ventures,Digital Currency Group,N/A,$52M Round,DEC '17,Union Square Ventures,Foundation Capital,N/A
NTOPOLOGY,Not Acquired,$1M Seed,JAN '16,N/A,N/A,N/A,$7.6M Series A,DEC '17,Data Collective,CrunchFund,N/A,N/A,N/A,N/A,N/A,N/A
AURORA LABS,Not Acquired,$2.7M Seed,DEC '17,Expansion Venture Capital,Trucks Venture Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIPCAMP,Not Acquired,$2M Round,SEP '14,OATV,Slow Ventures,N/A,$9.5M Series A,NOV '17,Sarah Tavel,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DYSPATCH BY SENDWITHUS,Not Acquired,$2.3M Seed,SEP '14,SV Angel,Maiden Lane,N/A,$5M Series A,NOV '17,Baseline Ventures,BlueRun Ventures,N/A,N/A,N/A,N/A,N/A,N/A
ADHAWK,Not Acquired,$2.2M Closed,NOV '15,Zelkova Ventures,eonCapital,N/A,$2.5M Seed,NOV '17,Founder Collective,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOMA WATER,NOV '17,$2.2M Round,OCT '14,Crosscut Ventures,Baseline Ventures,N/A,READ PRESS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPIRE GLOBAL,Not Acquired,$1.2M Seed,FEB '13,N/A,N/A,N/A,$300K Round,JUL '13,Grishin Robotics,N/A,N/A,$25M Series A,JUL '14,RRE Ventures,Mitsui & Co.,N/A
CATALIA HEALTH,Not Acquired,$1M Seed,MAY '15,Khosla Ventures,N/A,N/A,$2.5M Seed,DEC '16,Khosla Ventures,DeNA,N/A,$4M Seed,NOV '17,Ion Pacific,N/A,N/A
POSHMARK,Not Acquired,$25M Series C,APR '15,Menlo Ventures,Mayfield Fund,N/A,$25M Series D,APR '16,Menlo Ventures,GGV Capital,N/A,$87.5M Series E,NOV '17,Menlo Ventures,Mayfield Fund,N/A
SWIFTYPE,NOV '17,$7.5M Series A,SEP '13,New Enterprise Associates,N/A,N/A,$13M Series B,MAR '15,New Enterprise Associates,N/A,N/A,READ PRESS,N/A,N/A,N/A,N/A
TRANSFERWISE,Not Acquired,$58M Series C,JAN '15,Andreessen Horowitz,Index Ventures,N/A,$26M Series D,MAY '16,Andreessen Horowitz,Valar Ventures,N/A,$280M Series E,NOV '17,Andreessen Horowitz,Mitsui & Co.,N/A
KANO,Not Acquired,$15M Series A,MAY '15,Index Ventures,Breyer Capital,N/A,$28M Series B,NOV '17,Index Ventures,Breyer Capital,N/A,N/A,N/A,N/A,N/A,N/A
SCHOOLMINT,OCT '17,$2.2M Seed,SEP '14,Bodley Group,Romulus Capital,N/A,$5.6M Series A,FEB '16,Fresco Capital,Kapor Capital,N/A,READ PRESS,N/A,N/A,N/A,N/A
AVAIL,Not Acquired,$651K Seed,SEP '15,N/A,N/A,N/A,$2M Seed,OCT '17,Cultivation Capital,Sandalphon Capital,N/A,N/A,N/A,N/A,N/A,N/A
ABRA,Not Acquired,$2.2M Seed,AUG '14,Scott and Cyan Banister,Patrick Kershaw,N/A,$18.8M Series A,SEP '15,First Round Capital,RRE Ventures,N/A,$17M Series B,OCT '17,Lerer Hippeau,RRE Ventures,N/A
FLUENT CITY,Not Acquired,$2.5M Seed,SEP '16,Learn Capital,New Ground Ventures,N/A,$3M Series A,OCT '17,New Ground Ventures,John Katzman,N/A,N/A,N/A,N/A,N/A,N/A
