Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
NOTION,Not Acquired,$2.5M Seed,MAY '15,Draper Nexus Ventures,Galvanize Ventures,N/A,$3.2M Seed,JUN '16,Liberty Mutual,N/A,N/A,$10M Series A,JUN '17,Draper Nexus Ventures,Translink Capital,N/A
CLUTTER,Not Acquired,$2M Seed,MAY '15,Resolute Ventures,Joanne Wilson,N/A,$1.3M Seed,AUG '15,N/A,N/A,N/A,$9M Series A,OCT '15,Sequoia Capital,N/A,N/A
WAYSTOCAP,Not Acquired,$3M Seed,JUN '17,Battery Ventures,Soma Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEWSE,Not Acquired,$1.7M Seed,FEB '15,rocketship.vc,Telegraph Hill Capital,N/A,$5.9M Series A,AUG '15,Foundry Group,500 Startups,N/A,$7.4M Series B,JUN '17,Foundry Group,Galvanize Ventures,N/A
LOB,Not Acquired,$2.4M Seed,NOV '13,Indicator Ventures,Drummond Road Capital,N/A,$7M Series A,SEP '14,First Round Capital,Floodgate,N/A,$20M Series B,MAY '17,Ali Rowghani,N/A,N/A
BOOM FANTASY,Not Acquired,$2M Seed,MAY '17,Founders Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARE YOU A HUMAN,MAY '17,$2M Seed,AUG '14,N/A,N/A,N/A,$4.2M Series A,JUN '15,Detroit Venture Partners,FG Angels,N/A,READ PRESS,N/A,N/A,N/A,N/A
NEIGHBORLY,Not Acquired,$5.5M Seed,SEP '15,Formation | 8,Ashton Kutcher,N/A,$25M Series A,MAY '17,Bee Partners,Stanford University,N/A,N/A,N/A,N/A,N/A,N/A
CONVERSA HEALTH,Not Acquired,$2.5M Seed,MAR '15,N/A,N/A,N/A,$8M Series A,MAY '17,EPIC Ventures,Healthgrades,N/A,N/A,N/A,N/A,N/A,N/A
TURBOAPPEAL,Not Acquired,$4M Series A,OCT '16,Guaranteed Rate,N/A,N/A,READ PRESS,MAY '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TERRITORY FOODS,Not Acquired,$6.7M Series A,MAY '17,Lewis & Clark Ventures,New Richmond Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHELVSPACE,Not Acquired,$1.2M Seed,MAY '15,Tallwave Capital,Sam Teller,N/A,$2.9M Seed,MAY '17,Wavemaker Partners,Tallwave Capital,N/A,N/A,N/A,N/A,N/A,N/A
BARN & WILLOW,Not Acquired,$1M Seed,MAY '17,VTF Capital,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAKESPACE,Not Acquired,$1.3M Seed,SEP '13,Lowercase Capital,Collaborative Fund,N/A,$8M Series A,MAY '14,Founders Fund,Upfront Ventures,N/A,$17.5M Series B,FEB '16,Founders Fund,Upfront Ventures,N/A
FORESTRY.IO,Not Acquired,$500K Seed,APR '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIIX,Not Acquired,$1.5M Round,APR '17,Y Combinator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHAI,Not Acquired,$800K Seed,APR '15,N/A,N/A,N/A,$2M Seed,APR '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SQUAD,Not Acquired,$2.1M Series A,APR '17,Blume Ventures,Emergent Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMPASS,Not Acquired,$1M Round,JUN '16,New Enterprise Associates,PROfounders Capital,N/A,READ PRESS,APR '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TROV,Not Acquired,$6.5M Series B,FEB '15,Anthemis Group,N/A,N/A,$25.5M Series C,APR '16,Anthemis Group,Suncorp Group,N/A,$45M Series D,APR '17,Munich Re / HSB Ventures,N/A,N/A
LEDGER INVESTING,Not Acquired,$120K Seed,JAN '17,Y Combinator,N/A,N/A,$5M Seed,APR '17,Accel,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A
U GROK IT - SMARTPHONE RFID,Not Acquired,$600K Seed,MAY '14,Foundry Group,FG Angels,N/A,READ PRESS,APR '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JOYRUN,Not Acquired,$8.5M Series A,MAR '17,Floodgate,Morado Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CASETEXT,Not Acquired,$1.8M Seed,OCT '13,Y Combinator,Red Sea Ventures,N/A,$7M Series A,JAN '15,Union Square Ventures,Formation | 8,N/A,$12M Series B,MAR '17,Union Square Ventures,SV Angel,N/A
PRODUCEPAY,Not Acquired,$1.4M Seed,JUN '15,Arena Ventures,Social Leverage,N/A,$2.5M Seed,JUN '16,Menlo Ventures,Arena Ventures,N/A,$7M Series A,MAR '17,CoVenture,N/A,N/A
WRAPIFY,Not Acquired,$1M Seed,SEP '15,Social Capital,Ludlow Ventures,N/A,$1M Seed,JAN '16,Seed Sumo,ZenStone Venture Capital,N/A,$3M Series A,MAR '17,Avery Dennison,N/A,N/A
KINSA,Not Acquired,$9.6M Series A,DEC '14,Kleiner Perkins,FirstMark Capital,N/A,$17M Series B,MAR '17,Kleiner Perkins,FirstMark Capital,N/A,N/A,N/A,N/A,N/A,N/A
COLA,Not Acquired,$1.3M Round,NOV '15,Tribeca Angels,Brad Garlinghouse,N/A,READ PRESS,MAR '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TRUSTIFY,Not Acquired,$293K Closed,MAR '15,500 Startups,Lowercase Capital,N/A,Seed,FEB '16,Slow Ventures,Lowercase Capital,N/A,Closed,MAR '17,Slow Ventures,Forefront Venture Partners,N/A
POCKET,Not Acquired,$7M Series B,APR '15,Foundation Capital,Queensbridge Venture Partners,N/A,READ PRESS,FEB '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COINSPECT,Not Acquired,$2.3M Seed,FEB '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TRIPLEMINT,Not Acquired,$1.7M Round,APR '15,Winklevoss Capital,Dominion Capital,N/A,$4.5M Series A,FEB '17,B-to-v Partners,DN Capital,N/A,N/A,N/A,N/A,N/A,N/A
NEWSWHIP,Not Acquired,$1.6M Round,MAY '15,500 Startups,UK Technology by Flight Ventures,N/A,$6.4M Series A,FEB '17,Social Starts,Tribal.vc,N/A,N/A,N/A,N/A,N/A,N/A
INMOJI,Not Acquired,$1M Seed,FEB '15,David Chang,N/A,N/A,$1.5M Seed,MAY '15,David Chang,N/A,N/A,$5M Series A,MAR '16,David Chang,John Wigneswaran,N/A
FYSICAL LABS,Not Acquired,$400K Round,NOV '15,N/A,N/A,N/A,$125K Round,JUL '16,500 Startups,N/A,N/A,$800K Round,JAN '17,N/A,N/A,N/A
BOUNCE.IO (DBA THREATWAVE),Not Acquired,$4.8M Series A,FEB '14,Foundry Group,Bullet Time Ventures,N/A,N/A,JAN '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JIOBIT,Not Acquired,$3.4M Seed,JAN '17,Math Venture Partners,Inflection Equity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LE TOTE,Not Acquired,$500K Seed,JUN '14,Andreessen Horowitz,Joanne Wilson,N/A,$8.3M Series A,FEB '15,Azure Capital Partners,Lerer Hippeau,N/A,$15M Series B,NOV '15,Lerer Hippeau,Azure Capital Partners,N/A
FIG,Not Acquired,$7.8M Series A,JAN '17,Spark Capital,Greycroft Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZEOTAP,Not Acquired,$6.4M Series A,AUG '15,Iris Capital,Capnamic Ventures,N/A,$13M Series B,JAN '17,Iris Capital,Capnamic Ventures,N/A,N/A,N/A,N/A,N/A,N/A
LAUGHLY,Not Acquired,$2.3M Seed,JAN '17,New York Angels,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RADPAD,Not Acquired,$9M Series A,APR '15,Altpoint Capital,Goldcrest Investments,N/A,READ PRESS,JAN '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STAFFJOY,Not Acquired,$1.2M Seed,JAN '17,Caffeinated Capital,Brainchild Holdings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FARADAY BICYCLES,Not Acquired,$1M Seed,JUL '13,Michael Birch,Biz Stone,N/A,$900K Seed,OCT '14,Tom McInerney,Barney Schauble,N/A,READ PRESS,JAN '17,N/A,N/A,N/A
HARVEST.AI,Not Acquired,$2.3M Seed,MAR '15,Trinity Ventures,Kelly Perdew,N/A,$19M Acquisition,JAN '17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BIRDI,DEC '16,$700K Seed,JUL '14,Kapor Capital,Jason Calacanis,N/A,$500K Closed,APR '15,PCH,N/A,N/A,Seed,AUG '16,A-Level Capital,Tamarisc Ventures,N/A
NUTMEG,Not Acquired,$37.5M Series C,NOV '16,Balderton Capital,Convoy,N/A,$14.6M Series D,DEC '16,Balderton Capital,Convoy,N/A,N/A,N/A,N/A,N/A,N/A
NUMERAI,Not Acquired,$1.5M Seed,APR '16,Playfair Capital,Naval Ravikant,N/A,$6M Series A,DEC '16,Union Square Ventures,First Round Capital,N/A,N/A,N/A,N/A,N/A,N/A
VESPER MEMS,Not Acquired,$15M Series A,DEC '16,Accomplice,Amazon Alexa Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RHUMBIX,Not Acquired,$6M Series A,NOV '15,Greylock Partners,Brick & Mortar Ventures,N/A,$6.3M Series D,DEC '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEADGENIUS,Not Acquired,$6M Series A,OCT '14,Kapor Capital,Fuel Capital,N/A,$10M Series B,JUL '16,Y Combinator,Lumia Capital,N/A,$4M Series B,DEC '16,Lumia Capital,Javelin Venture Partners,N/A
NAVDY,Not Acquired,$6.5M Seed,OCT '14,Kima Ventures,Rubicon Venture Capital,N/A,$20M Series A,APR '15,Eniac Ventures,Upfront Ventures,N/A,$15M Round,DEC '16,Harman International Industries,N/A,N/A
APPTOPIA,Not Acquired,$2.7M Seed,NOV '16,500 Startups,Telegraph Hill Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SICKWEATHER,Not Acquired,$350K Seed,SEP '14,FG Angels,N/A,N/A,$250K Seed,APR '15,Baltimore Angels,Maryland TEDCO,N/A,$150K Seed,NOV '16,500 Startups,N/A,N/A
CODESIGNAL,Not Acquired,$10M Series A,NOV '16,e.ventures,SV Angel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLE BIRD,Not Acquired,$600K Seed,FEB '15,N/A,N/A,N/A,READ PRESS,NOV '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TRANSCRIPTIC,Not Acquired,$1.2M Seed,DEC '12,Founders Fund,GV,N/A,$2.8M Seed,FEB '14,Founders Fund,GV,N/A,$120K Seed,DEC '14,Y Combinator,N/A,N/A
PRINTWITHME,Not Acquired,$800K Seed,NOV '16,New Stack Ventures,M25 Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONFLEET,Not Acquired,$2M Seed,APR '15,Winklevoss Capital,CrunchFund,N/A,$2.6M Seed,NOV '16,Stanford-StartX Fund,SGH CAPITAL,N/A,N/A,N/A,N/A,N/A,N/A
WISE.IO,Not Acquired,$2.5M Series A,MAR '14,Voyager Capital,Ravi Belani,N/A,N/A,NOV '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COHERO HEALTH,Not Acquired,$2M Seed,DEC '15,StartUp Health,Swanhill Capital,N/A,$10.5M Series A,NOV '16,Three Leaf Ventures,BioAdvance,N/A,N/A,N/A,N/A,N/A,N/A
PEERWELL,Not Acquired,$2.1M Seed,NOV '16,XSeed Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BARRICADE,Not Acquired,$1.2M Seed,APR '15,Vectr Ventures,N/A,N/A,READ PRESS,NOV '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REPLICATED,Not Acquired,$5M Series A,NOV '16,Amplify Partners,Webb Investment Network,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARCOPOLO LEARNING,Not Acquired,$2.4M Seed,OCT '16,Horizons Ventures,Seedcamp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMISSARY,Not Acquired,$12M Series A,OCT '16,Canaan Partners,G20 Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CONEKTA,Not Acquired,$1.8M Seed,MAY '15,500 Startups,Escala.vc,N/A,$6.6M Series A,OCT '16,Conconi Growth Partners,VARIV Capital,N/A,N/A,N/A,N/A,N/A,N/A
MPOWER FINANCING,Not Acquired,$1.1M Seed,AUG '15,Baltimore Angels,1776,N/A,$6M Series A,OCT '16,Fresco Capital,VilCap Investments,N/A,N/A,N/A,N/A,N/A,N/A
PAY BY GROUP,Not Acquired,$157K Round,FEB '14,500 Startups,SparkLabs Global Ventures,N/A,$3.4M Seed,OCT '16,SparkLabs Global Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIGHERME,Not Acquired,$1.5M Seed,OCT '16,Y Combinator,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WORKLIFE,Not Acquired,$355K Seed,AUG '14,N/A,N/A,N/A,READ PRESS,OCT '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REVLO (YC S16),Not Acquired,$2M Seed,OCT '16,Foundation Capital,SV Angel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TUTE GENOMICS,Not Acquired,$1.5M Seed,JAN '14,Park City Angels,Salt Lake Life Science Angels (SLLSA),N/A,$2.3M Round,DEC '14,Eurovestech PLC,Peak Ventures,N/A,$3.9M Series A,JUN '15,Tencent,Healthbox,N/A
HAPPYCO,Not Acquired,$2.3M Series A,DEC '14,Point Nine Capital,NAVITAS CAPITAL,N/A,$7.5M Series A,OCT '16,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CODESPARK,Not Acquired,$1.4M Seed,JUN '15,Idealab,Kapor Capital,N/A,$4.1M Seed,SEP '16,Kapor Capital,Idealab,N/A,N/A,N/A,N/A,N/A,N/A
MAUTIC,Not Acquired,$600K Seed,FEB '16,G20 Ventures,_Underscore VC,N/A,$5M Series A,SEP '16,G20 Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GAMETIME,Not Acquired,$4.2M Seed,SEP '14,Accel,N/A,N/A,$13M Series A,MAY '15,Accel,Andrew Chen,N/A,$20M Series B,SEP '16,Accel,GV,N/A
MOBILIZE,Not Acquired,$800K Closed,JUN '15,Array Ventures,Eoghan McCabe,N/A,$6.5M Series A,SEP '16,Floodgate,Trinity Ventures,N/A,N/A,N/A,N/A,N/A,N/A
WEFOX,Not Acquired,$5.5M Round,JAN '16,IDInvest Partners,Seedcamp,N/A,$28M Series A,SEP '16,Horizons Ventures,Target Global,N/A,N/A,N/A,N/A,N/A,N/A
PHILZ COFFEE,Not Acquired,$15M Series A,MAY '13,Cowboy Ventures,CrunchFund,N/A,$15M Series B,FEB '15,Cowboy Ventures,Sherpa Capital,N/A,$45M Series C,SEP '16,TPG Capital,N/A,N/A
CHARIOT,Not Acquired,$3M Seed,APR '15,Uncork Capital (formerly SoftTech VC),Maven Ventures,N/A,READ PRESS,SEP '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IDBYDNA,Not Acquired,$9M Series A,SEP '16,ARTIS VENTURES (AV),Abstract Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRAFTKINGS,Not Acquired,$300M Series D,JUL '15,Accomplice,The Raine Group,N/A,$70M Round,FEB '16,N/A,N/A,N/A,$153M Round,SEP '16,Revolution Growth,N/A,N/A
SKYKICK,Not Acquired,$3M Round,JUL '14,Tim Ferriss,Navin Thukkaram,N/A,$10M Round,JUN '15,Tim Ferriss,Navin Thukkaram,N/A,$5M Round,AUG '16,Tim Ferriss,Navin Thukkaram,N/A
REQUESTED,Not Acquired,$575K Seed,MAR '15,LAUNCH,Social Capital,N/A,READ PRESS,AUG '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABODO,Not Acquired,$1.3M Seed,JUL '14,American Family Ventures,Lakewest Venture Partners,N/A,$4.8M Series A,AUG '16,American Family Ventures,4490 Ventures,N/A,N/A,N/A,N/A,N/A,N/A
PRENAV,Not Acquired,$6.5M Seed,AUG '16,Crosslink Capital,Haystack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COINTENT,Not Acquired,$1.1M Seed,APR '15,Foundry Group,FG Angels Syndicate Fund II,N/A,$120K Seed,AUG '16,Y Combinator,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KONTENA,Not Acquired,$2M Seed,AUG '16,Lifeline Ventures,Tekes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UVIZE,Not Acquired,$169K Seed,MAR '14,FG Angels,N/A,N/A,N/A,AUG '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SIMBI,Not Acquired,$1.2M Round,AUG '16,Greylock Partners,Y Combinator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PROMPT.LY,Not Acquired,$1.5M Round,NOV '13,Foundry Group,Subtraction Capital,N/A,READ PRESS,AUG '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CYBRARY,Not Acquired,$400K Seed,AUG '15,New Stack Ventures,N/A,N/A,$1.3M Seed,AUG '16,Arthur Ventures,Ron Gula,N/A,N/A,N/A,N/A,N/A,N/A
AIRHELP,Not Acquired,$221K Seed,MAR '14,Zillionize,N/A,N/A,$12M Series A,AUG '16,Khosla Ventures,Evan Williams,N/A,N/A,N/A,N/A,N/A,N/A
DAILY.CO,Not Acquired,$2.5M Seed,AUG '16,TenOneTen Ventures,Compound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPTIMIZE,Not Acquired,$2M Seed,JAN '14,Andreessen Horowitz,GV,N/A,$4M Series A,FEB '15,Costanoa Ventures,N/A,N/A,$12.4M Series B,AUG '16,Glynn Capital Management,Western Technology Investment,N/A
DISTIL NETWORKS,Not Acquired,$1.8M Seed,JAN '13,ff Venture Capital,IDEA Fund Partners,N/A,$10M Series A,MAY '14,Foundry Group,Bullet Time Ventures,N/A,$21M Series B,JUN '15,Bessemer Venture Partners,Foundry Group,N/A
FITSPOT WELLNESS,Not Acquired,$1.7M Seed,JUL '16,Techstars,Forefront Venture Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DENSITY,Not Acquired,$200K Seed,OCT '14,N/A,N/A,N/A,$4M Series A,JUL '16,Upfront Ventures,Ludlow Ventures,N/A,N/A,N/A,N/A,N/A,N/A
CLOUDAPP,Not Acquired,$2M Seed,JUL '16,Ride Ventures,The Gramercy Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SENTIO,Not Acquired,$125K Round,JUL '16,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEDICAST,Not Acquired,$540K Round,NOV '13,N/A,N/A,N/A,$1.4M Seed,MAY '14,N/A,N/A,N/A,READ PRESS,JUL '16,N/A,N/A,N/A
SCOPE AR,Not Acquired,$2M Seed,JUL '16,New Stack Ventures,Susa Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PAYJOY,Not Acquired,$18M Series A,JUL '16,Union Square Ventures,DNX Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EARNUP,Not Acquired,$3M Seed,JUL '16,Blumberg Capital,Kapor Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOON + GABLE,Not Acquired,$2.5M Seed,JUN '16,Crosscut Ventures,Crosslink Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLANT PREFAB,Not Acquired,$3M Seed,JUN '16,Obvious Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOOSTABLE,Not Acquired,$2.5M Seed,APR '14,Morado Venture Partners,Omidyar Network,N/A,$3.2M Series A,OCT '14,SV Angel,Omidyar Network,N/A,READ PRESS,JUN '16,N/A,N/A,N/A
HONEYBOOK,Not Acquired,$10M Series A,SEP '14,Aleph,UpWest Labs,N/A,$22M Series B,MAR '15,Norwest Venture Partners,Aleph,N/A,$14M Series D,JUN '16,Norwest Venture Partners,Aleph,N/A
ARMORWAY,Not Acquired,$2.5M Seed,JUN '16,Aristos Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SENDHUB,Not Acquired,$3M Series A,SEP '13,Bullpen Capital,Kapor Capital,N/A,$5M Series A,NOV '14,Menlo Ventures,Bullpen Capital,N/A,READ PRESS,JUN '16,N/A,N/A,N/A
TENJIN,Not Acquired,$567K Seed,JUL '14,Y Combinator,Lightbank,N/A,$2.5M Seed,JUN '16,NetEase Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TICKETBIS,Not Acquired,$3M Round,APR '15,ACTIVE VENTURE PARTNERS,Fabrice Grinda,N/A,$165M Acquisition,MAY '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPIDERBOOK,Not Acquired,$300K Seed,MAY '15,N/A,N/A,N/A,READ PRESS,MAY '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAPKIN,Not Acquired,$1.2M Seed,OCT '14,Accomplice,Andrew Payne,N/A,N/A,MAY '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VERBALIZEIT,Not Acquired,$830K Seed,OCT '14,Foundry Group,Galvanize Ventures,N/A,READ PRESS,MAY '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CARIBOU BIOSCIENCES,Not Acquired,$11M Series A,APR '15,Novartis,N/A,N/A,$30M Series B,MAY '16,Maverick Capital,F-Prime Capital Partners,N/A,N/A,N/A,N/A,N/A,N/A
MOMENT,Not Acquired,$1.5M Seed,SEP '14,Foundry Group,Maveron,N/A,$3M Series A,MAY '16,Galvanize Ventures,Founders Co-op,N/A,N/A,N/A,N/A,N/A,N/A
REGROUP THERAPY,Not Acquired,$1.8M Seed,MAY '16,New Stack Ventures,OCA Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TRADESY,Not Acquired,$13M Series B,MAY '14,Kleiner Perkins,Rincon Venture Partners,N/A,$30M Series C,JAN '15,Kleiner Perkins,Rincon Venture Partners,N/A,$30M Series D,MAY '16,Kleiner Perkins,Rincon Venture Partners,N/A
OVERDOG (ACQUIRED BY ODD NETWORKS),Not Acquired,$2.4M Round,NOV '14,Accomplice,Chicago Ventures,N/A,READ PRESS,MAY '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAVEN,Not Acquired,$3M Seed,MAR '15,First Round Capital,Data Collective,N/A,$11M Series A,MAY '16,First Round Capital,Spark Capital,N/A,N/A,N/A,N/A,N/A,N/A
TIERION,Not Acquired,$1M Seed,APR '16,Digital Currency Group,Blockchain Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOT IT,Not Acquired,$2.3M Seed,OCT '14,P. Relan YouWeb Incubator,Brad Bao,N/A,$9M Series A,APR '16,Capricorn Investment Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHAMELEON,Not Acquired,$1.9M Seed,APR '16,True Ventures,Vast Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KUESKI,Not Acquired,$35M Series A,APR '16,CrunchFund,Richmond Global Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WOOTRIC,Not Acquired,$2.6M Seed,APR '16,Cloud Apps Capital Partners,CSC Upshot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PATHFUL,Not Acquired,$400K Seed,JUN '14,Drummond Road Capital,FG Angels,N/A,READ PRESS,APR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LUCID,Not Acquired,$2.1M Series A,APR '16,S2 Capital,TEEC Angel Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHANGECOIN,Not Acquired,$750K Round,MAY '14,Blockchain Capital,N/A,N/A,$3.5M Seed,DEC '14,Pantera Capital,500 Startups,N/A,READ PRESS,APR '16,N/A,N/A,N/A
GENOME COMPILER,Not Acquired,$5.8M Series A,JUN '15,N/A,N/A,N/A,READ PRESS,APR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIROOL,Not Acquired,$12M Series A,APR '16,Menlo Ventures,Flint Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JOBBLE,Not Acquired,$1.2M Seed,APR '16,E-Merge,Chase Garbarino,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
THE SPOT,Not Acquired,$3M Seed,SEP '14,Canyon Creek Capital,Maiden Lane,N/A,READ PRESS,APR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRAVITY GROUP (PREVIOUSLY DIL MIL),Not Acquired,$1M Round,MAY '15,500 Startups,Nelstone Ventures,N/A,$2.7M Seed,APR '16,Transmedia Capital,Nelstone Ventures,N/A,N/A,N/A,N/A,N/A,N/A
BLISPAY,Not Acquired,$12.8M Seed,MAR '16,FirstMark Capital,Accomplice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JUNE,Not Acquired,$22.5M Series A,MAR '16,First Round Capital,Foundry Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZEEL,Not Acquired,$10M Series A,MAR '16,Slow Ventures,NAV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRUISE AUTOMATION,Not Acquired,$12.5M Series A,SEP '15,Spark Capital,Sam Altman,N/A,$2M Round,NOV '15,N/A,N/A,N/A,$1B Acquisition,MAR '16,N/A,N/A,N/A
LOVERLY,Not Acquired,$3M Series A,NOV '14,Female Founders Fund,SoftBank Capital,N/A,$2M Series B,MAR '16,Transmedia Capital,645 Ventures,N/A,N/A,N/A,N/A,N/A,N/A
THRIVEHIVE,Not Acquired,$2.5M Seed,AUG '15,Joe Caruso,Art Papas,N/A,$11.8M Acquisition,MAR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZEPHYRUS BIOSCIENCES,Not Acquired,$1.5M Seed,SEP '14,Life Science Angels,Mission Bay Capital,N/A,READ PRESS,MAR '16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
